permit_number,issued_date,site_address,sub_type,work_type,contractor,description,valuation
MI271314,2023-04-07,3727 Farmington Rd,Single Family,Maintenance/Repair,YOUNGER EXTERIORS INC,siding and windows replacement,44000
MI271316,2023-04-07,5476 Woodland Rd,Single Family,Maintenance/Repair,Why Wait Roofing,tear off and reshingle house,10890
MI271325,2023-04-07,16624 Excelsior Blvd,Single Family,Maintenance/Repair,Heeyoon Kim,Replacing window with a french door,1500
MI271328,2023-04-07,3301 Highland Ave,Single Family,Maintenance/Repair,Home Depot Usa Inc,"Remove and replace 18 windows, same size, no structural change.",28107
MI271330,2023-04-07,3824 Oak Rd,Single Family,Maintenance/Repair,Kristene Hentz,"18 windows, existing openings",10000
MI271308,2023-04-06,12745 Wood Court La,Single Family,Maintenance/Repair,Tomco Company Inc,Replace 3 windows in existing openings- custom sized to fit.,2400
MI270926,2023-04-06,2017 Blackberry La,Single Family,Remodel/Alteration,BLACK DOG HOMES CO,We will be refreshing the mudroom on the main level and adding a laundry on the upper,40000
MI271104,2023-04-06,14709 High Point Ct,Single Family,Remodel/Alteration,R A UNGERMAN CONSTRUCTION INC,Demo and the interior pool enclosure that collapsed from the weight of ice and snow on the roof.,20000
MI271268,2023-04-06,4921 Woodhurst La,Single Family,Remodel/Alteration,R A UNGERMAN CONSTRUCTION INC,"Main floor cosmetic remodel - Kitchen, Powder Bath, Master Suite, living and dining room.",225000
MI271295,2023-04-06,15301 Excelsior Blvd,Single Family,Remodel/Alteration,ST JOHN CRAFTSMAN INC,move exterior wall 2 feet out to rest on existing foundation; extend existing wall 2 ft.,1200
MI270809,2023-04-05,2808 Saddlebrooke Cir,Single Family,Addition,SILVERLAND REMODELING LLC,"Build a 12'x20' workshop addition, flat roof with deck, 5 windows, one exterior door, LP siding",82000
MI271230,2023-04-05,401 Townes Rd,Single Family,Addition,J BROTHERS DESIGN BUILD REMODEL,New deck on front of house,10000
MI271284,2023-04-05,5979 Stoneybrook Dr,Single Family,Maintenance/Repair,Complete Basement Systems,Replace egress window with a new one.,8952
MI271286,2023-04-05,17070 Creek Ridge Tr,Single Family,Maintenance/Repair,Minnesota Exteriors,2 windows in existing opening,13924
MI271251,2023-04-05,2305 Wildwood Tr,Single Family,Remodel/Alteration,Steven E Wahl,Remove kitchen/living non bearing wall verified by builder of Preston trails townhomes. Create a foy,2000
MI271256,2023-04-04,3221 Hazelwood West,Single Family,Maintenance/Repair,Pella Northland,Replacing 1 Double Sliding Patio Door w/ 2 screens- Replacing 2 more screens in Master bedroom,9302
MI271271,2023-04-04,13024 Orchard Rd,Single Family,Maintenance/Repair,TWIN CITIES SIDING PROFESSIONALS OPERATING,SIDING CO LLC,29303
MI271273,2023-04-04,15625 Wing Lake Dr,Single Family,Maintenance/Repair,Home Depot Usa Inc,Remove and replace 9 windows same size no structural change,36042
MI271210,2023-04-04,3341 Chippewa Rd,Single Family,Remodel/Alteration,BATH VENTURES OF MN LLC,"remove existing bathtub & walls. Install new shower pan (same footprint), valve & drain, flooring.",17415
MI270845,2023-04-03,14221 Bellevue Dr,Single Family,Remodel/Alteration,SERDA REMODELING LLC,Kitchen remodel,40000
MI271205,2023-03-31,14410 Woodruff Rd,Single Family,Maintenance/Repair,EAGLE SIDING INC,Replace Siding,39000
MI271213,2023-03-31,10101 Crestridge Dr,Single Family,Maintenance/Repair,Sundeen Incorporated,Tearoff and reroof dwelling with asphalt shingles.,16805
MI271214,2023-03-31,18515 Cherry Tree Ct,Townhouse Units,Maintenance/Repair,Zen Windows Twin Cities Inc,"7 windows , existing openings",4200
MI270145,2023-03-30,12701 Whitewater Dr 290,Commercial/Ind,Tenant Finish,ROSKOP CONSTRUCTION,"Updating finishes, removing walls, adding a couple new offices",313995
MI271019,2023-03-30,10155 Greenbrier Rd,Multi Family Apts/Condos,Remodel/Alteration,MINNESOTA ROOFING & REMODELING,Framing and Decks,150000
MI271188,2023-03-30,6106 Creek Ridge Ct,Single Family,Maintenance/Repair,MATT GERGEN CONSTRUCTION LLC,Replace Siding,20000
MI271197,2023-03-30,4905 Acorn Ridge Rd,Single Family,Maintenance/Repair,Home Depot Usa Inc,Remove and replace 1 window same size no structural change,4416
MI271198,2023-03-30,4608 Ellerdale Rd,Single Family,Maintenance/Repair,Home Depot Usa Inc,Remove and replace 1 window same size no structural change,4692
MI271137,2023-03-30,14411 Woodruff Cir,Single Family,Remodel/Alteration,SAFEBASEMENTS OF MINNESOTA INC,8 anchored waler wall support beams + 1 wall anchor to stabilize bowing foundation walls,9025
MI271018,2023-03-29,10155 Greenbrier Rd,Multi Family Apts/Condos,Maintenance/Repair,MINNESOTA ROOFING & REMODELING,Tear off and Re-side,70000
MI271138,2023-03-29,10501 Cedar Lake Rd 420,Multi Family Apts/Condos,Remodel/Alteration,MAD CITY HOME IMPROVEMENT LLC,Replacing tub with shower. Exposing part of shared wall will reinsulate to code.,4052
MI271152,2023-03-29,13728 Spring Lake Rd,Single Family,Maintenance/Repair,Ls West Llc,Tear-off & reroof w/asphalt shingles,15000
MI271157,2023-03-29,14813 Belvoir Dr,Single Family,Maintenance/Repair,Donald W Adams,four basement windows below grade existing openings,675
MI271166,2023-03-29,3500 Lowell St,Single Family,Maintenance/Repair,WINDOW NATION LLC,"remove and replace 11 windows. like for like, no structural changes",22761
MI270469,2023-03-29,5612 Eden Prairie Rd,Single Family,Remodel/Alteration,OX BUILDERS LLC,Main floor Interior Demolition and Remodel Including Kitchen & Living Space,30000
MI270925,2023-03-29,16901 Clear Spring Ter,Single Family,Remodel/Alteration,Todd R Sutton,Main level remodel--- MUD ROOM CABINETS ONLY,100000
MI271042,2023-03-29,2253 Wildwood Cir,Single Family,Remodel/Alteration,Karen Birk-rhodes,"Remove existing closet, relocate to back garage entryway. Remove nonbearing walls in kitchen area",1500
MI271117,2023-03-29,17801 Frommes Cir,Single Family,Remodel/Alteration,MAD CITY HOME IMPROVEMENT LLC,REPLACING SHOWER. EXPOSING PART OF EXTERIOR WALL WILL REINSULATE TO CODE.,5696
MI271146,2023-03-29,2715 Autumnwood La,Townhouse Units,Maintenance/Repair,Window Concepts Of Mn Inc,Replacing 1 existing entry door and 2 existing windows,4481
MI271108,2023-03-28,4912 Coventry Rd W,Single Family,Maintenance/Repair,Blue Sky Chimney Sweeps,"Partial chimney stack rebuild, overhanging crown,weatherproofing",4000
MI271118,2023-03-28,1600 Hill Ridge Ter,Single Family,Maintenance/Repair,Window World,REPLACING 5 WINDOWS IN EXISTING OPENINGS,10795
MI271119,2023-03-28,18517 Ridgewood Rd,Single Family,Maintenance/Repair,Summit Construction Group Ing,RE-ROOF,7000
MI271143,2023-03-28,11329 Timberline Rd,Single Family,Maintenance/Repair,Viking Contractors Llc,tear off and re roof house,13700
MI270969,2023-03-28,18812 South La,Single Family,Remodel/Alteration,LAKE COUNTRY HOME IMPROVEMENTS,Remodel LLC -inspct only windows door egree and one footing,40000
MI267699,2023-03-27,17310 Minnetonka Blvd,Commercial/Ind,Maintenance/Repair,DERING PIERSON GROUP LLC,"Replacing unit ventilators, cabinets, sinks and adding wall finish.",976000
MI269912,2023-03-27,17000 Lake St Extension,Commercial/Ind,Remodel/Alteration,,Replacing classroom partial height walls with full height walls. Reconfiguring small office area.,134345
MI271061,2023-03-27,14137 Glenridge Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 4 windows within existing openings.,8593
MI271062,2023-03-27,5439 Butternut Cir,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 2 windows within existing openings.14,365",
MI271065,2023-03-27,2745 Meadow Pl,Single Family,Maintenance/Repair,EQUICORE INC,STUCCO REPAIR,9500
MI271094,2023-03-27,14600 Oakwood Rd,Single Family,Maintenance/Repair,Pella Northland,Replacing 5 windows- No changes to rough openings,17138
MI271095,2023-03-27,5517 Vine Hill Rd,Single Family,Maintenance/Repair,BERKSHIRE HOME SOLUTIONS,SIDING,59420
MI271096,2023-03-27,5517 Vine Hill Rd,Single Family,Maintenance/Repair,Berkshire Home Solutions,Tear off & replace roof,19248
MI269869,2023-03-27,11472 Fairfield Rd 403,Single Family,Remodel/Alteration,BLUESTEM CONSTRUCTION,"Remodel of entire home including kitchen, M. Bath, Guest Bath, and Powder Room",150000
MI270684,2023-03-27,4806 Winterset Dr,Single Family,Remodel/Alteration,Magdalena B Metelska,Basement Finish,50000
MI271056,2023-03-27,3715 Farmington Rd,Single Family,Remodel/Alteration,Scott R Roeber,Basement remodel of unfinished space,20000
MI271064,2023-03-27,4709 Eastwood Cir,Single Family,Remodel/Alteration,TONKA MANAGEMENT FIRST INC,finish small basment,40000
MI270877,2023-03-24,601 Carlson Pkwy 900,Commercial/Ind,Remodel/Alteration,GARDNER BUILDERS,"Tenant build out; includes partitions, doors, new breakoom & lighting modifications (no structural)",850000
MI271034,2023-03-24,4335 Wilson St,Single Family,Maintenance/Repair,TWIN CITIES SIDING PROFESSIONALS OPERATING,Replace Siding CO LLC,29303
MI271035,2023-03-24,4335 Wilson St,Single Family,Maintenance/Repair,TWIN CITIES SIDING PROFESSIONALS OPERATING,"2 win, 1 door CO existing LLC openings",5388
MI271037,2023-03-24,4800 Ridge Rd,Single Family,Maintenance/Repair,Ashco Exteriors Inc,reshingle house,13000
MI270560,2023-03-24,2240 Wildwood Cir 6,Single Family,Remodel/Alteration,Grindstone Construction,Interior remodel,105000
MI270987,2023-03-23,9617 Robin Oak Rd,Single Family,Maintenance/Repair,Michael Stephens,Reroof layover shingles 3 tab GAF reroof-verify1 layer under,4000
MI271001,2023-03-23,4021 Terrace La,Single Family,Maintenance/Repair,Pella Northland,Replacing 1 entry door - no changes to rough openings,9100
MI271009,2023-03-23,3030 St Albans Mill Rd 103,Single Family,Maintenance/Repair,RENEWAL BY ANDERSEN LLC,"Replace 4 windows within existing openings22,374",
MI271010,2023-03-23,5261 Beachside Dr,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 1 patio door within existing openings.6,597",
MI271011,2023-03-23,12813 Orchard Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 1 window within existing opening.,2886
MI271012,2023-03-23,10605 Crestridge Dr,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 1 window within existing opening.,2777
MI271013,2023-03-23,5810 Salisbury Ave,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 5 windows and 1 entry door within existing openings.,32877
MI271014,2023-03-23,3501 Therese St,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 4 windows within existing openings.13,289",
MI271015,2023-03-23,2121 Austrian Pine La,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 27 windows and 4 patio doors within existing openings.,100345
MI271016,2023-03-23,2414 Bantas Point La,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 1 window within existing opening.,7000
MI271017,2023-03-23,12837 Muriel Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 3 windows within existing openings.13,407",
MI271024,2023-03-23,12275 James Rd,Single Family,Maintenance/Repair,Home Depot Usa Inc,Remove and replace 9 windows same size no structural change,16662
MI271026,2023-03-23,20 Westwood Rd,Single Family,Maintenance/Repair,"Custom Remodelers, Inc.","Replacing 1 entry door, same size, rough opening",5700
MI270970,2023-03-23,4944 Clear Spring Rd,Single Family,Remodel/Alteration,BATH VENTURES OF MN LLC,"Remove existing bathtub. Install new bathtub (same footprint), valve, waste & overflow.",13160
MI270999,2023-03-23,15701 White Pine Dr,Single Family,Remodel/Alteration,LEAF HOME ENCHANCEMENTS LLC,Walkin shower and surround being replaced,14709
MI270763,2023-03-22,5909 Baker Rd 500,Commercial/Ind,Remodel/Alteration,THE BAINEY GROUP,Interior Remodel,395500
MI269099,2023-03-22,17633 Minnetonka Blvd,Commercial/Ind,Tenant Finish,REVISION LLC,Interior built out of office and treatment rooms,47000
MI270786,2023-03-22,10745 Smetana Rd,Multi Family Apts/Condos,Maintenance/Repair,GIBRALTAR CONSTRUCTION CO,Apartment Clubhouse repairs/remodel,20000
MI270964,2023-03-22,2417 Britton La,Single Family,Maintenance/Repair,Window Concepts Of Mn Inc,replacing 1 existing window,1445
MI270967,2023-03-22,3301 Highland Ave,Single Family,Maintenance/Repair,Marley K Mellingen,Tear Off/Reroof,15000
MI270974,2023-03-22,5230 Glenview Dr,Single Family,Maintenance/Repair,Keyprime Inc,Tear off and re-roof main dwelling and attached garage; also replacing flat roof,18390
MI270975,2023-03-22,5230 Glenview Dr,Single Family,Maintenance/Repair,KEYPRIME INC,New SIDING,10094
MI270980,2023-03-22,2801 Westridge Rd,Single Family,Maintenance/Repair,Jack Pixley Sweeps Inc,"Install fireplace w/ steel liner system, new smoke chamber, custom firebox. Brickwork, overhang drip",15879
MI270943,2023-03-22,15807 Lake St Extension,Single Family,Remodel/Alteration,MAD CITY HOME IMPROVEMENT LLC,Replacing tub. Exposing part of exterior wall will reinsulate to code.,5080
MI270948,2023-03-22,2116 Indian Rd W,Single Family,Remodel/Alteration,DBS RESDIENTIAL SOLUTIONS,Install 8 Carbon Armor straps along the E and N foundation walls of the garage,9158
MI270772,2023-03-21,12928 Minnetonka Blvd,Commercial/Ind,Remodel/Alteration,ROWE WILLIAM THOMAS,Re-place glass with new thermo-pane where existing glass is located along Minnetonka Blvd Side,18500
MI270941,2023-03-21,3605 Shady Oak Rd,Single Family,Maintenance/Repair,Scherer Brothers,replacing 4 windows,7779
MI270951,2023-03-21,16525 Temple Cir,Single Family,Maintenance/Repair,Pella Northland,"Replacing 8 windows-no changes in openings44,455",
MI270651,2023-03-21,4302 Queens Way,Single Family,Remodel/Alteration,CSC REMODELERS,"remove pld deck replace with new composite deck, same location",40000
MI270949,2023-03-21,4732 Williston Rd,Single Family,Remodel/Alteration,TERRA FIRMA BUILDING AND REMODELING,COMPLETION COOPERATIVE OF HVAC WORK BY JUNE 1ST 0,2023
MI267999,2023-03-20,12225 Wayzata Blvd 2096,Commercial/Ind,Tenant Finish,NATIONAL CONTRACTORS,"Interior TI with minor MEP work NIKE 1,200,000",2096
MI270700,2023-03-20,15630 Sheridan Spur Rd,Single Family,Addition,SUSSEL CORPORATION,625sf Attached garage addition,46875
MI270746,2023-03-20,16004 Dawn Dr,Single Family,Addition,PENNINGTON RICK J,Deck and porch,49500
MI270905,2023-03-20,5432 Rowland Rd,Single Family,Maintenance/Repair,City of Minnetonka,"deconstruction, above grade, project 0",
MI270908,2023-03-20,1900 Welland Ave,Single Family,Maintenance/Repair,Zachary J Zimmer,Reroofing the entire house.,4000
MI270909,2023-03-20,2222 Platwood Rd,Single Family,Maintenance/Repair,Pure Home Restoration Llc,20 existing windows,152784
MI270724,2023-03-20,5316 Dominick Dr,Single Family,Remodel/Alteration,CNC REMODELING INC,Kitchen remodel,52345
MI270878,2023-03-17,10904 Oak Knoll Ter N,Single Family,Maintenance/Repair,CRAFTSMANS CHOICE INC,NEW SIDING,22324
MI270880,2023-03-17,15301 Excelsior Blvd,Single Family,Maintenance/Repair,ST JOHN CRAFTSMAN INC,3 windows replaced plus siding,20000
MI270898,2023-03-17,16312 Moorland Cir,Single Family,Maintenance/Repair,Kerry E Thompson,Water damage repair tuck under garage,1500
MI270871,2023-03-17,5041 Birch Rd,Single Family,Remodel/Alteration,TWO TEACHER CONSTRUCTION INC,Replace decking and rail on existing structure. Azek decking and Vista cable rail. No earth movemen,8800
MI270859,2023-03-16,3627 Regal Oak,Single Family,Maintenance/Repair,Midwest Roofing Siding And Windows Inc,Roofing: asphalt tear off re roof house and attached garage,20000
MI270863,2023-03-16,4710 Fairhills Rd W,Single Family,Maintenance/Repair,Scherer Brothers,Replacing 7 windows,32229
MI270864,2023-03-16,13806 Bellevue Dr,Single Family,Maintenance/Repair,Scherer Brothers,replacing 3 windows,14524
MI270865,2023-03-16,6130 Creek View Ridge,Single Family,Maintenance/Repair,Scherer Brothers,replacing 4 windows,9394
MI270004,2023-03-15,12759 Wayzata Blvd #2273,Commercial/Ind,Remodel/Alteration,,interior remodel existing tenant space to include Mechanical and electrical for pandora,130000
MI270799,2023-03-15,10521 Cedar Lake Rd 202,Multi Family Apts/Condos,Remodel/Alteration,Dale Roseen,replacing sheetrock in bathroomms and kitchen for new electric service and new plumbing,2000
MI270840,2023-03-15,4031 Highland Rd,Single Family,Maintenance/Repair,James R Ikhaml,Tear off old roof and replace with new asphalt shingles,10000
MI270445,2023-03-14,601 Carlson Pkwy 900,Commercial/Ind,Remodel/Alteration,GARDNER BUILDERS,Demo (3) existing suites to prep for combining them into (1) suite,70000
MI270793,2023-03-14,15600 Willowood Dr,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc Dba Sela Gutter Connect,Remove and replace 2 skylights,4400
MI270796,2023-03-14,14700 Minnehaha Pl,Single Family,Maintenance/Repair,Bison Builders Inc,reroof,7000
MI270823,2023-03-14,3296 Honeywood La,Single Family,Maintenance/Repair,SID FEATHERSTONE CONSTRUCTION LLCTear,Off/Reroof,30000
MI270784,2023-03-14,4310 Windwood Way,Single Family,Remodel/Alteration,WORTH DESIGN BUILD INC,Removing loading bearing wall and installing flush steel beam,6000
MI268851,2023-03-13,5918 Whited Ave,Single Family,Addition,"OUTDOOR LIVING SPACES, LLC",add a new deck to the home,39000
MI270616,2023-03-13,16304 Ice Circle Dr,Single Family,Remodel/Alteration,Jacob N Kvasnik,Full kitchen remodel and removal of non-load bearing wall.,5000
MI270666,2023-03-13,4505 Aspenwood Tr,Single Family,Remodel/Alteration,Your Home Improvement Company,bath remodel - replace tub with walk in tub; replace wall surround in wet area only,13000
MI270756,2023-03-13,4532 Marlborough Ct,Single Family,Remodel/Alteration,MOHLER CHIMNEY REPAIR,We are rebuilding the chimney to grade with a new finished face brick (All work is exterior),28405
MI270767,2023-03-10,12214 Winterset Spur,Single Family,Maintenance/Repair,Viking Contractors Llc,tear off and re roof house and detached garage,20000
MI270170,2023-03-10,15026 Highwood Dr,Single Family,New,R & R CONSTRUCTION OF MINNEAPOLIS,New INC home,600000
MI270511,2023-03-10,14619 Oakwood Rd,Single Family,Remodel/Alteration,EMERALD BUILDERS INC,Remodel Kitchen,21000
MI270757,2023-03-10,3200 Hazelwood West,Single Family,Remodel/Alteration,GROUNDWORKS MINNESOTA LLC,Installing crawldrain & sump pump & drain tile,9000
MI270732,2023-03-09,16304 Ice Circle Dr,Single Family,Maintenance/Repair,Home Depot Usa Inc,Remove and replace 1 window same size no structural change,2658
MI270735,2023-03-09,11821 Pheasant La,Single Family,Maintenance/Repair,SELA ROOFING & REMODEL INC DBA SELA,SIDING GUTTER CONNECT,16000
MI270752,2023-03-09,17620 Arrowhead Tr,Single Family,Maintenance/Repair,Crew 2 Inc,2 exterior door replacements - going in existing openings -,3442
MI270699,2023-03-09,15510 Oric Ave,Single Family,Remodel/Alteration,DYVIG LAND DEVELOPMENT & CONSTRUCTION,"Mstr BA remodel. Demo all tile, base, and flooring. Update elec. & plumb. Repaint. New cabinetry",11700
MI270739,2023-03-09,11217 Royzelle La,Single Family,Remodel/Alteration,AMERICAN WATERWORKS,Foundation repair 6 HELICAL PEIRS,20629
MI270697,2023-03-08,4848 Arlington Dr,Single Family,Maintenance/Repair,ERIE CONSTRUCTION,Remove existing shingles and install new ones.,33500
MI270716,2023-03-08,5905 Maplewood La,Single Family,Maintenance/Repair,Dry Basement Guys Llc,Egress window existing openeing making taller. no header disruption,2800
MI270701,2023-03-08,2625 Cedar Green,Townhouse Units,Maintenance/Repair,LINCOLN HANCOCK RESTORATION LLC,Roof replacement skylight and 2 reflective tubes,13306
MI270702,2023-03-08,2627 Cedar Green,Townhouse Units,Maintenance/Repair,LINCOLN HANCOCK RESTORATION LLC,Roof replacement with skylight,13306
MI270703,2023-03-08,2641 Cedar Green,Townhouse Units,Maintenance/Repair,Lincoln Hancock Restoration Llc,,14263
MI270704,2023-03-08,2643 Cedar Green,Townhouse Units,Maintenance/Repair,Lincoln Hancock Restoration Llc,,14263
MI270705,2023-03-08,2662 Cedar Green,Townhouse Units,Maintenance/Repair,LINCOLN HANCOCK RESTORATION LLC,Roof replacement with reflective tube,17217
MI270706,2023-03-08,2664 Cedar Green,Townhouse Units,Maintenance/Repair,LINCOLN HANCOCK RESTORATION LLC,Roof replacement with 2 skylights,17217
MI270707,2023-03-08,2640 Cedar Green,Townhouse Units,Maintenance/Repair,LINCOLN HANCOCK RESTORATION LLC,Roof replacement with skylight,12819
MI270708,2023-03-08,2642 Cedar Green,Townhouse Units,Maintenance/Repair,Lincoln Hancock Restoration Llc,,12819
MI270709,2023-03-08,2644 Cedar Green,Townhouse Units,Maintenance/Repair,Lincoln Hancock Restoration Llc,,12819
MI270710,2023-03-08,2624 Cedar Green,Townhouse Units,Maintenance/Repair,LINCOLN HANCOCK RESTORATION LLC,Roof replacement with 3 reflective tubes,15094
MI270711,2023-03-08,2626 Cedar Green,Townhouse Units,Maintenance/Repair,LINCOLN HANCOCK RESTORATION LLC,Roof replacement with 3 reflective tubes,15094
MI270712,2023-03-08,2600 Cedar Green,Townhouse Units,Maintenance/Repair,Lincoln Hancock Restoration Llc,,11600
MI270713,2023-03-08,2602 Cedar Green,Townhouse Units,Maintenance/Repair,Lincoln Hancock Restoration Llc,,11600
MI269358,2023-03-07,17809 Hutchins Dr 101,Commercial/Ind,Remodel/Alteration,"KARKELA CONSTRUCTION, INC.",Tenant Improvement-space remodel for an orthodontic clinic,328342
MI269779,2023-03-07,12601 Ridgedale Dr,Commercial/Ind,Remodel/Alteration,ACTION CONSTRUCTION TRANSPORTATION,Upgrades LLC and modifications to an existing service center to match 2020 expansion project,945789
MI270450,2023-03-07,12209 Wayzata Blvd 2086,Commercial/Ind,Remodel/Alteration,NIELSON CONSTRUCTION SOLUTIONS,Evereve @ Ridgedale - Full Remodel SPACE 2086,500000
MI270677,2023-03-07,16587 Creekside La,Single Family,Maintenance/Repair,Mad City Home Improvement Llc,REPLACING 1 PATIO DOOR NO CHANGE TO EXISTING OPENING SIZE,3816
MI270601,2023-03-07,4224 Wilson St,Single Family,Remodel/Alteration,TITUS CONTRACTING INC,"Finish an unfinished basement new home and upper loft, add wall and door.",67000
MI270629,2023-03-07,5750 Glen Moor Cir,Single Family,Remodel/Alteration,Sharon M Derosier,deck on front of home,4920
MI270234,2023-03-06,11484 Fairfield Rd 301,Multi Family Apts/Condos,Remodel/Alteration,MLA CONSTRUCTION LLC,Bathroom remodel,15000
MI270649,2023-03-06,16871 Creek Ridge Tr,Single Family,Maintenance/Repair,Scherer Brothers,Replacing 1 patio door,9955
MI270650,2023-03-06,12825 Greenwood Tr,Single Family,Maintenance/Repair,Scherer Brothers,replacing 13 windows,37700
MI270652,2023-03-06,10008 Crestridge Dr,Single Family,Maintenance/Repair,Twin Cities Siding Professionals Operating Co,Llc,35000
MI270653,2023-03-06,2500 Crescent Ridge Rd,Single Family,Maintenance/Repair,Scherer Brothers,replacing 22 windows and 4 doors,102731
MI260221,2023-03-06,2505 Pine Cir,Single Family,Remodel/Alteration,Joseph R Goodhart,finish basement,3900
MI270335,2023-03-06,4941 Diane Dr,Single Family,Remodel/Alteration,ASIL SERVICES LLC,Adding walls lower level,7500
MI270639,2023-03-06,4817 Lamplighters La,Single Family,Remodel/Alteration,DRIFTWOOD BUILDERS INC,"Kitchen Remodel, Master Suite Remodel, Laundry room gets relocated",125000
MI267550,2023-03-03,18301 State Hwy No 7,Commercial/Ind,Remodel/Alteration,CM CONSTRUCTION CO,Replacing commercial kitchen equipment and freezer. Relocating kitchen office.,400800
MI268429,2023-03-03,5517 Eden Prairie Rd,Single Family,Addition,DECK AND BASEMENT COMPANY,New Deck,26250
MI270620,2023-03-03,12700 Sherwood Pl,Single Family,Maintenance/Repair,Garlock-french Roofing,Rebuild chimneys to the roof line with small brick to match other rebuilt chimneys.,57929
MI270623,2023-03-03,11511 Lakeview La W 1,Single Family,Maintenance/Repair,Kaufman Sheet Metal & Roof Inc,shingles on house (not including attached garage),17533
MI270631,2023-03-03,5109 Williston Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 7 windows within existing openings.28,966",
MI270632,2023-03-03,4842 Arlington Dr,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 5 windows within existing openings.20,871",
MI270165,2023-03-02,12600 Whitewater Dr 150,Commercial/Ind,Remodel/Alteration,HEALY CONSTRUCTION,"Renovation of office space including relocation of doors, walls, ceilings, open work areas,",225000
MI270589,2023-03-02,5960 Covington Ter,Single Family,Maintenance/Repair,Mad City Home Improvement Llc,"REPLACING 5 WINDOWS & 1 PATIO DOOR8,519",
MI270594,2023-03-02,3924 Avondale St,Single Family,Maintenance/Repair,Lindus Construction,Re-roof including tear off,33000
MI270605,2023-03-02,16616 Temple Dr N,Single Family,Maintenance/Repair,Lindus Construction,Re-roof including tear off,32000
MI270609,2023-03-02,5406 Holiday Rd,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc Dba Sela Gutter Connect,"Tear off and reroof house and attached garage15,000",
MI270610,2023-03-02,16587 Creekside La,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc Dba Sela Gutter Connect,Tear off and reroof house only.,20000
MI270611,2023-03-02,14600 Woodruff Rd,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc Dba Sela Gutter Connect,"Tear off and reroof house and attached garage19,000",
MI270612,2023-03-02,14200 Council Cir,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc Dba Sela Gutter Connect,Tear off and reroof house and attached garage.,19000
MI270613,2023-03-02,14200 Council Cir,Single Family,Maintenance/Repair,SELA ROOFING & REMODEL INC DBA SELA,SIDING GUTTER CONNECT,44000
MI270614,2023-03-02,14200 Council Cir,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc Dba Sela Gutter Connect,Replace 9 windows in existing openings.,22000
MI270615,2023-03-02,13311 Northridge Rd,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc Dba Sela Gutter Connect,Tear off and reroof house and attached garage.,11000
MI270577,2023-03-01,5538 Rowland Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 3 windows and 2 patio doors within existing openings.,23105
MI270201,2023-02-28,17809 Hutchins Dr,Commercial/Ind,Remodel/Alteration,"KARKELA CONSTRUCTION, INC.",DEMOLITION OF INTERIOR NON STRUCTURAL ONLY,100
MI270539,2023-02-28,15523 Highwood Dr,Single Family,Maintenance/Repair,CREW 2 INC,1 Exterior door replacement - no alterations to opening - Front Door,1406
MI270543,2023-02-28,3300 Hopkins Crossroad,Single Family,Maintenance/Repair,MIDWEST EXTERIORS MN,Replace Siding,5500
MI270562,2023-02-28,2503 Sherwood Hills Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 1 patio door within existing opening.,14277
MI269976,2023-02-27,11585 K-Tel Dr,Commercial/Ind,Remodel/Alteration,G 4 CM LLC,Interior Remodel,1254000
MI270160,2023-02-27,12800 Marion La W,Multi Family Apts/Condos,Addition,,Adding antennas/equipment cabinet to rooftop,50000
MI270097,2023-02-27,2237 Windsor Lake Dr,Single Family,Addition,RICE CREEK BUILDING AND REMODELING,12X24 addition to side of home with new bathroom,94500
MI270487,2023-02-27,5435 Williston Rd,Single Family,Maintenance/Repair,GALLOWAY HOLDINGS LLC,"FOUNDATION CHECK, SECURE FRONT STEPS TO CODE",100
MI270507,2023-02-27,17109 Stodola Rd,Single Family,Maintenance/Repair,Pella Northland,Replacing 3 Windows- N0 changes to rough openings,16554
MI270522,2023-02-27,14129 Glenridge Rd,Single Family,Maintenance/Repair,Craftsmans Choice,8 windows in existing openings,19323
MI270485,2023-02-27,14719 Rocksborough Rd,Single Family,Remodel/Alteration,FBC REMODELING,"Bathroom remodel. interior framing, plumbing rough in move and finishes.",45000
